Username,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Risk,Loyalty_Segment,Risk_Code,Loyalty_Code
martinismyhero,40,7,51,1,3,1,131,5,Green,Casual Players,1,0
martinlutek,30,65,7090,1,4,4,144,9,Red,Casual Players,3,0
marvino1325,23,9,18550,2,3,4,234,9,Amber,Casual Players,2,0
mascheni,13,4,1675,3,3,3,333,9,Amber,Casual Players,2,0
masonsergey,37,3,337,1,2,2,122,5,Green,Casual Players,1,0
masterKidt,14,12,4400,3,4,3,343,10,Amber,Loyal Customers,2,2
mastertrader,26,3,63,2,2,1,221,5,Green,Casual Players,1,0
mathewslim,30,48,400,1,4,2,142,7,Green,Casual Players,1,0
mathewx,5,42,10288,4,4,4,444,12,Green,VIP,1,3
mattiasc,1,77,221,4,4,2,442,10,Green,Loyal Customers,1,2
mattiasc2,1,94,517,4,4,2,442,10,Green,Loyal Customers,1,2
mattyboy,31,2,500,1,2,2,122,5,Green,Casual Players,1,0
mauricioarles,1,6,2830,4,3,3,433,10,Green,Casual Players,1,0
mauropaga,3,14,1729,4,4,3,443,11,Green,Loyal Customers,1,2
mavneee,11,1,350,3,1,2,312,6,Green,Casual Players,1,0
maxad,9,7,2216,3,3,3,333,9,Amber,Casual Players,2,0
maxda6,24,4,73,2,3,1,231,6,Green,Casual Players,1,0
maximan23,6,7,150100,3,3,4,334,10,Amber,Casual Players,2,0
maximehf,37,3,3524,1,2,3,123,6,Green,Casual Players,1,0
maximka,26,1,5,2,1,1,211,4,Green,Casual Players,1,0
maxleaks,31,2,120,1,2,2,122,5,Green,Casual Players,1,0
maxmax,30,2,100,1,2,1,121,4,Green,Casual Players,1,0
maxmudxxx,5,34,673,4,4,2,442,10,Green,Loyal Customers,1,2
maxumlin,14,1,11,3,1,1,311,5,Green,Casual Players,1,0
mbe13337,15,1,400,3,1,2,312,6,Green,Casual Players,1,0
mccriddle,22,8,812,2,3,2,232,7,Green,Casual Players,1,0
mchteh,25,2,1707,2,2,3,223,7,Green,Casual Players,1,0
mclovin_,25,3,610000,2,2,4,224,8,Green,Casual Players,1,0
md_khan,37,2,5,1,2,1,121,4,Green,Casual Players,1,0
mdmijan,1,9,25319,4,3,4,434,11,Green,Casual Players,1,0
mdrifat,15,2,1200,3,2,3,323,8,Green,Casual Players,1,0
meanmachine1,2,107,449641,4,4,4,444,12,Green,VIP,1,3
medievilminer,31,5,6002,1,3,4,134,8,Amber,Casual Players,2,0
medmax,22,8,45,2,3,1,231,6,Green,Casual Players,1,0
meer74,18,5,122,2,3,2,232,7,Green,Casual Players,1,0
megainvest,1,291,210655,4,4,4,444,12,Green,VIP,1,3
mehran2741,23,1,2000,2,1,3,213,6,Green,Casual Players,1,0
melodira,4,8,76,4,3,1,431,8,Green,Casual Players,1,0
memecenter,38,1,1200,1,1,3,113,5,Green,Casual Players,1,0
mennoluckpls,6,2,27000,3,2,4,324,9,Green,Casual Players,1,0
menphan,4,7,48487,4,3,4,434,11,Green,Casual Players,1,0
meona2959,9,1,1000,3,1,3,313,7,Green,Casual Players,1,0
merckxonaut,14,2,8907,3,2,4,324,9,Green,Casual Players,1,0
mestreteco,18,1,310,2,1,2,212,5,Green,Casual Players,1,0
mestumre,8,1,320,3,1,2,312,6,Green,Casual Players,1,0
methylamine,25,43,381675,2,4,4,244,10,Red,Casual Players,3,0
metis777,1,1,1500,4,1,3,413,8,Green,New,1,1
metrix2,4,6,205,4,3,2,432,9,Green,Casual Players,1,0
mfooksman,12,2,3000,3,2,3,323,8,Green,Casual Players,1,0
mhoffman2016,6,1,32,3,1,1,311,5,Green,Casual Players,1,0
michael96590,31,1,4000,1,1,3,113,5,Green,Casual Players,1,0
microtacoz,40,4,251,1,3,2,132,6,Green,Casual Players,1,0
mihay85,2,6,321,4,3,2,432,9,Green,Casual Players,1,0
mike58,6,6,7300,3,3,4,334,10,Amber,Casual Players,2,0
mike888,24,3,250,2,2,2,222,6,Green,Casual Players,1,0
miladh,24,11,74,2,4,1,241,7,Green,Casual Players,1,0
milaha,21,22,218,2,4,2,242,8,Green,Casual Players,1,0
milehighblazer,2,32,63815,4,4,4,444,12,Green,VIP,1,3
miles110,16,7,173,2,3,2,232,7,Green,Casual Players,1,0
millenium777,1,5,12312,4,3,4,434,11,Green,Casual Players,1,0
miller,18,1,111,2,1,2,212,5,Green,Casual Players,1,0
millionbyt,5,23,3404,4,4,3,443,11,Green,Loyal Customers,1,2
min2838,1,46,6139,4,4,4,444,12,Green,VIP,1,3
miraclekt,1,108,1586,4,4,3,443,11,Green,Loyal Customers,1,2
miriam,6,5,664525,3,3,4,334,10,Amber,Casual Players,2,0
mironn,16,14,448,2,4,2,242,8,Green,Casual Players,1,0
mish81,35,3,4,1,2,1,121,4,Green,Casual Players,1,0
mitai2016,27,1,1,2,1,1,211,4,Green,Casual Players,1,0
mixmaxbeat,36,1,1000,1,1,3,113,5,Green,Casual Players,1,0
mladenec1984,24,1,100,2,1,1,211,4,Green,Casual Players,1,0
mlmner,39,1,20,1,1,1,111,3,Green,Casual Players,1,0
mmfc,22,2,232000,2,2,4,224,8,Green,Casual Players,1,0
mobguy,21,54,3870,2,4,3,243,9,Amber,Casual Players,2,0
mobshitsavage,5,1,20,4,1,1,411,6,Green,New,1,1
moeder123,34,1,184,1,1,2,112,4,Green,Casual Players,1,0
moehre,40,2,20,1,2,1,121,4,Green,Casual Players,1,0
mohenjodharo,5,8,32474,4,3,4,434,11,Green,Casual Players,1,0
mohsen19941,7,8,6534,3,3,4,334,10,Amber,Casual Players,2,0
mohsens19,9,1,100,3,1,1,311,5,Green,Casual Players,1,0
molchawy,5,5,850,4,3,2,432,9,Green,Casual Players,1,0
money2k,3,2,15000,4,2,4,424,10,Green,New,1,1
moneymachine222,34,5,142,1,3,2,132,6,Green,Casual Players,1,0
moneypoo,24,6,123000,2,3,4,234,9,Amber,Casual Players,2,0
monobyte,3,1,500,4,1,2,412,7,Green,New,1,1
moolinex,9,4,14995,3,3,4,334,10,Amber,Casual Players,2,0
moonkyu7233,10,1,500,3,1,2,312,6,Green,Casual Players,1,0
moonsilver,23,31,8399,2,4,4,244,10,Red,Casual Players,3,0
mops,21,6,166200,2,3,4,234,9,Amber,Casual Players,2,0
morcoteg,27,21,1187,2,4,3,243,9,Amber,Casual Players,2,0
morgan9387,26,2,11,2,2,1,221,5,Green,Casual Players,1,0
mosic,19,1,400,2,1,2,212,5,Green,Casual Players,1,0
moskovskiy03,6,3,200,3,2,2,322,7,Green,Casual Players,1,0
mrbennyxb,37,14,11482,1,4,4,144,9,Red,Casual Players,3,0
mrdasi,9,1,100,3,1,1,311,5,Green,Casual Players,1,0
mrmirsh,27,7,43049,2,3,4,234,9,Amber,Casual Players,2,0
mrpika,37,7,1020,1,3,3,133,7,Amber,Casual Players,2,0
mrschook,2,25,24897,4,4,4,444,12,Green,VIP,1,3
mrstean,20,15,3550,2,4,3,243,9,Amber,Casual Players,2,0
msclassic,1,1,10,4,1,1,411,6,Green,New,1,1
msully4,16,2,1100,2,2,3,223,7,Green,Casual Players,1,0
msx125,9,6,1554,3,3,3,333,9,Amber,Casual Players,2,0
msxk29913,38,1,2500,1,1,3,113,5,Green,Casual Players,1,0
murad24,1,69,6081,4,4,4,444,12,Green,VIP,1,3
murzilka,1,25,776722,4,4,4,444,12,Green,VIP,1,3
mustaqim13,32,2,6,1,2,1,121,4,Green,Casual Players,1,0
muzli,2,10,44,4,3,1,431,8,Green,Casual Players,1,0
myamoring,5,13,195,4,4,2,442,10,Green,Loyal Customers,1,2
mygodman,8,1,2000,3,1,3,313,7,Green,Casual Players,1,0
mygreen40,2,3,4092,4,2,3,423,9,Green,New,1,1
mylene31,9,2,4000,3,2,3,323,8,Green,Casual Players,1,0
mylezed18,38,1,200,1,1,2,112,4,Green,Casual Players,1,0
mymyback,40,1,50,1,1,1,111,3,Green,Casual Players,1,0
myth1337,17,5,72,2,3,1,231,6,Green,Casual Players,1,0
mywayy,10,1,18000,3,1,4,314,8,Green,Casual Players,1,0
n33leri,34,1,500,1,1,2,112,4,Green,Casual Players,1,0
n_y_a_n,2,56,135611,4,4,4,444,12,Green,VIP,1,3
nabilahjkt,4,5,6,4,3,1,431,8,Green,Casual Players,1,0
nagatto,31,1,4,1,1,1,111,3,Green,Casual Players,1,0
nahue99,10,36,253,3,4,2,342,9,Green,Loyal Customers,1,2
nahue999,1,50,970,4,4,3,443,11,Green,Loyal Customers,1,2
nalgene123,10,1,2000,3,1,3,313,7,Green,Casual Players,1,0
nanash3331,15,1,200,3,1,2,312,6,Green,Casual Players,1,0
napalm911,18,2,585,2,2,2,222,6,Green,Casual Players,1,0
napoleon3665,6,1,10,3,1,1,311,5,Green,Casual Players,1,0
nasa,26,1,214,2,1,2,212,5,Green,Casual Players,1,0
nasrkoko,40,5,9070,1,3,4,134,8,Amber,Casual Players,2,0
nastyalaik,35,1,5,1,1,1,111,3,Green,Casual Players,1,0
nathandyb,31,7,16009,1,3,4,134,8,Amber,Casual Players,2,0
nathanielbeitzel,11,1,1000,3,1,3,313,7,Green,Casual Players,1,0
natty,6,3,4500,3,2,3,323,8,Green,Casual Players,1,0
naver1004,33,3,60,1,2,1,121,4,Green,Casual Players,1,0
nazar,1,44,66527,4,4,4,444,12,Green,VIP,1,3
nbkshocks,6,8,8676,3,3,4,334,10,Amber,Casual Players,2,0
ndeso,23,3,2200,2,2,3,223,7,Green,Casual Players,1,0
nebulashines,11,1,250000,3,1,4,314,8,Green,Casual Players,1,0
necdell01,21,4,86,2,3,1,231,6,Green,Casual Players,1,0
necdell02,1,12,8994,4,4,4,444,12,Green,VIP,1,3
necrodeath,12,1,1,3,1,1,311,5,Green,Casual Players,1,0
necromancer,3,9,508,4,3,2,432,9,Green,Casual Players,1,0
needcomeback,19,5,93,2,3,1,231,6,Green,Casual Players,1,0
neelkamal,27,11,10725,2,4,4,244,10,Red,Casual Players,3,0
neeraj,17,3,12005,2,2,4,224,8,Green,Casual Players,1,0
neevo,13,1,2000,3,1,3,313,7,Green,Casual Players,1,0
negrito,27,4,68,2,3,1,231,6,Green,Casual Players,1,0
neite99,14,5,2200,3,3,3,333,9,Amber,Casual Players,2,0
nek,2,4,272,4,3,2,432,9,Green,Casual Players,1,0
nela,4,8,3355,4,3,3,433,10,Green,Casual Players,1,0
nelsonarthur236,23,4,1262,2,3,3,233,8,Amber,Casual Players,2,0
nemesio,33,3,12,1,2,1,121,4,Green,Casual Players,1,0
neonox,1,11,1081,4,4,3,443,11,Green,Loyal Customers,1,2
nerdlab,9,1,31,3,1,1,311,5,Green,Casual Players,1,0
ners87,1,21,79910,4,4,4,444,12,Green,VIP,1,3
nesdeyparra,14,5,80,3,3,1,331,7,Green,Casual Players,1,0
netkrool,2,19,3230,4,4,3,443,11,Green,Loyal Customers,1,2
neung30000,15,1,5000,3,1,3,313,7,Green,Casual Players,1,0
newbie12345,33,1,37,1,1,1,111,3,Green,Casual Players,1,0
nexh,10,1,2500,3,1,3,313,7,Green,Casual Players,1,0
nexonsupport,7,6,14000,3,3,4,334,10,Amber,Casual Players,2,0
nglb,30,9,39,1,3,1,131,5,Green,Casual Players,1,0
nguyenquocduy,15,12,6303,3,4,4,344,11,Amber,Loyal Customers,2,2
nguyenquocviet,2,35,3726,4,4,3,443,11,Green,Loyal Customers,1,2
nguyenquocviet2,14,9,763,3,3,2,332,8,Green,Casual Players,1,0
nguyenthihanh,16,5,2779,2,3,3,233,8,Amber,Casual Players,2,0
nguyenthuydung,15,15,1800,3,4,3,343,10,Amber,Loyal Customers,2,2
nicdd00,38,1,1000,1,1,3,113,5,Green,Casual Players,1,0
nickg1234,13,12,117,3,4,2,342,9,Green,Loyal Customers,1,2
nicklsw,18,1,100,2,1,1,211,4,Green,Casual Players,1,0
nickserafin1,13,3,1005,3,2,3,323,8,Green,Casual Players,1,0
nik094,11,10,237,3,3,2,332,8,Green,Casual Players,1,0
nika2007,37,1,1,1,1,1,111,3,Green,Casual Players,1,0
nikoniko1991win,3,2,101,4,2,2,422,8,Green,New,1,1
nikos49,25,1,35,2,1,1,211,4,Green,Casual Players,1,0
nimeshparmar,11,3,405,3,2,2,322,7,Green,Casual Players,1,0
ninuca,34,1,1,1,1,1,111,3,Green,Casual Players,1,0
niruojha,29,2,203,1,2,2,122,5,Green,Casual Players,1,0
nixology,7,7,12500,3,3,4,334,10,Amber,Casual Players,2,0
nk240360dlb,1,9,4207,4,3,3,433,10,Green,Casual Players,1,0
nkm12,41,2,21985,1,2,4,124,7,Green,Casual Players,1,0
noah9,4,1,30000,4,1,4,414,9,Green,New,1,1
nogodiggydie,6,1,100,3,1,1,311,5,Green,Casual Players,1,0
nomad2,29,3,500,1,2,2,122,5,Green,Casual Players,1,0
nonubabu,36,2,80,1,2,1,121,4,Green,Casual Players,1,0
noone,31,6,344000,1,3,4,134,8,Amber,Casual Players,2,0
nosewi,28,48,439,2,4,2,242,8,Green,Casual Players,1,0
noseynarwhal,3,3,20,4,2,1,421,7,Green,New,1,1
notajew,3,3,118,4,2,2,422,8,Green,New,1,1
novita1234,3,45,865,4,4,2,442,10,Green,Loyal Customers,1,2
novorosrubin,27,77,147,2,4,2,242,8,Green,Casual Players,1,0
nrebeca,6,56,304,3,4,2,342,9,Green,Loyal Customers,1,2
ntkmotors,4,2,10000,4,2,4,424,10,Green,New,1,1
numba1,13,2,50,3,2,1,321,6,Green,Casual Players,1,0
nyangod420,7,4,220,3,3,2,332,8,Green,Casual Players,1,0
o125345,4,1,142,4,1,2,412,7,Green,New,1,1
o_gorab_o,18,8,4900,2,3,3,233,8,Amber,Casual Players,2,0
o_p_,17,81,132526,2,4,4,244,10,Red,Casual Players,3,0
oaa,2,4,77,4,3,1,431,8,Green,Casual Players,1,0
obisnis12,9,72,5503,3,4,4,344,11,Amber,Loyal Customers,2,2
objetiv,30,39,396,1,4,2,142,7,Green,Casual Players,1,0
oblisics,18,3,5977,2,2,4,224,8,Green,Casual Players,1,0
obutler,1,2,850,4,2,2,422,8,Green,New,1,1
ogagkah,2,1,2000,4,1,3,413,8,Green,New,1,1
ohyeah123,39,2,3,1,2,1,121,4,Green,Casual Players,1,0
ojhacw,4,5,7000,4,3,4,434,11,Green,Casual Players,1,0
okanbey1,38,3,2531,1,2,3,123,6,Green,Casual Players,1,0
oleg3198,21,1,5,2,1,1,211,4,Green,Casual Players,1,0
oleg777,27,4,4,2,3,1,231,6,Green,Casual Players,1,0
olegoniy,11,2,2000,3,2,3,323,8,Green,Casual Players,1,0
olegotorw12,11,6,38,3,3,1,331,7,Green,Casual Players,1,0
olga210,16,15,373,2,4,2,242,8,Green,Casual Players,1,0
olga54,1,40,922,4,4,3,443,11,Green,Loyal Customers,1,2
olgazed,3,36,100,4,4,1,441,9,Green,Loyal Customers,1,2
olliharkonen,3,4,3825,4,3,3,433,10,Green,Casual Players,1,0
olrus,30,2,50,1,2,1,121,4,Green,Casual Players,1,0
omardoge2,39,1,10,1,1,1,111,3,Green,Casual Players,1,0
omggitssjuless,14,1,100,3,1,1,311,5,Green,Casual Players,1,0
oms4all,1,5,10100,4,3,4,434,11,Green,Casual Players,1,0
on247,3,3,10786,4,2,4,424,10,Green,New,1,1
onegavon,24,8,186,2,3,2,232,7,Green,Casual Players,1,0
onise222,1,109,14539,4,4,4,444,12,Green,VIP,1,3
op1,35,12,156,1,4,2,142,7,Green,Casual Players,1,0
opana111,20,2,3,2,2,1,221,5,Green,Casual Players,1,0
opapaa,16,13,193,2,4,2,242,8,Green,Casual Players,1,0
ordgra,30,41,427,1,4,2,142,7,Green,Casual Players,1,0
oribello,19,2,2003,2,2,3,223,7,Green,Casual Players,1,0
orioniscool,30,1,470,1,1,2,112,4,Green,Casual Players,1,0
orlovesky,3,41,534532,4,4,4,444,12,Green,VIP,1,3
oskarwithak,33,2,1100,1,2,3,123,6,Green,Casual Players,1,0
ost123,10,2,7000,3,2,4,324,9,Green,Casual Players,1,0
osubucks0012,2,3,8,4,2,1,421,7,Green,New,1,1
osvaldotes,14,1,480,3,1,2,312,6,Green,Casual Players,1,0
otrebronquita08,10,1,99,3,1,1,311,5,Green,Casual Players,1,0
overa,1,57,13622,4,4,4,444,12,Green,VIP,1,3
oxi,2,4,12,4,3,1,431,8,Green,Casual Players,1,0
oznlord,4,4,62000,4,3,4,434,11,Green,Casual Players,1,0
pablo_1_01,8,3,3,3,2,1,321,6,Green,Casual Players,1,0
padma,35,11,1260,1,4,3,143,8,Amber,Casual Players,2,0
pagong99,12,10,510067,3,3,4,334,10,Amber,Casual Players,2,0
pakdekita,29,35,1399,1,4,3,143,8,Amber,Casual Players,2,0
paker77,40,4,13,1,3,1,131,5,Green,Casual Players,1,0
palashmm1987,6,2,16225,3,2,4,324,9,Green,Casual Players,1,0
palbot,39,7,716,1,3,2,132,6,Green,Casual Players,1,0
paledot,39,4,12615,1,3,4,134,8,Amber,Casual Players,2,0
palladin55,8,1,10,3,1,1,311,5,Green,Casual Players,1,0
panep,30,36,292,1,4,2,142,7,Green,Casual Players,1,0
panglima,20,3,2004,2,2,3,223,7,Green,Casual Players,1,0
pantyliner69,1,2,63,4,2,1,421,7,Green,New,1,1
panzer1902,9,3,5928,3,2,4,324,9,Green,Casual Players,1,0
papa1a,33,5,359,1,3,2,132,6,Green,Casual Players,1,0
papai,18,14,227,2,4,2,242,8,Green,Casual Players,1,0
papermoon,6,3,1200,3,2,3,323,8,Green,Casual Players,1,0
pashka75,39,6,420,1,3,2,132,6,Green,Casual Players,1,0
pasxin,24,6,1720,2,3,3,233,8,Amber,Casual Players,2,0
pat641,15,1,11000,3,1,4,314,8,Green,Casual Players,1,0
patrick329ooo,14,1,160,3,1,2,312,6,Green,Casual Players,1,0
patris,27,16,1916,2,4,3,243,9,Amber,Casual Players,2,0
paulri,18,77,1043,2,4,3,243,9,Amber,Casual Players,2,0
pawani,7,3,70,3,2,1,321,6,Green,Casual Players,1,0
pawsniffer900,5,40,15016,4,4,4,444,12,Green,VIP,1,3
payboy,7,38,38623,3,4,4,344,11,Amber,Loyal Customers,2,2
payje555,35,7,25657,1,3,4,134,8,Amber,Casual Players,2,0
peacockers,5,2,3000,4,2,3,423,9,Green,New,1,1
peakerport,6,1,10,3,1,1,311,5,Green,Casual Players,1,0
peanutbutt,4,15,1107,4,4,3,443,11,Green,Loyal Customers,1,2
pekustyle,3,1,11800,4,1,4,414,9,Green,New,1,1
pembo,30,7,23268,1,3,4,134,8,Amber,Casual Players,2,0
pengu1n23x,21,2,5,2,2,1,221,5,Green,Casual Players,1,0
penguinpuncher,7,1,400,3,1,2,312,6,Green,Casual Players,1,0
pepekora,40,2,266344,1,2,4,124,7,Green,Casual Players,1,0
percent02,30,1,83,1,1,1,111,3,Green,Casual Players,1,0
perfectobusta,27,2,673,2,2,2,222,6,Green,Casual Players,1,0
period,17,9,2561200,2,3,4,234,9,Amber,Casual Players,2,0
peterholiday,21,5,4823,2,3,3,233,8,Amber,Casual Players,2,0
petricag,35,1,6,1,1,1,111,3,Green,Casual Players,1,0
petro1979,14,2,5500,3,2,4,324,9,Green,Casual Players,1,0
phamduyan,11,2,58,3,2,1,321,6,Green,Casual Players,1,0
phex,7,4,1155,3,3,3,333,9,Amber,Casual Players,2,0
philvil,2,53,15098,4,4,4,444,12,Green,VIP,1,3
pingtool,15,4,1124,3,3,3,333,9,Amber,Casual Players,2,0
piotr1987,32,1,2,1,1,1,111,3,Green,Casual Players,1,0
pippones,6,17,94218,3,4,4,344,11,Amber,Loyal Customers,2,2
piratsylver,5,17,2823,4,4,3,443,11,Green,Loyal Customers,1,2
pis,12,16,95,3,4,1,341,8,Green,Loyal Customers,1,2
pitbully,10,1,16000,3,1,4,314,8,Green,Casual Players,1,0
pix_q,34,4,7200,1,3,4,134,8,Amber,Casual Players,2,0
pjotter32,22,5,122,2,3,2,232,7,Green,Casual Players,1,0
pjparson,30,1,1,1,1,1,111,3,Green,Casual Players,1,0
pksingh7787,21,3,25370,2,2,4,224,8,Green,Casual Players,1,0
planet,36,1,1,1,1,1,111,3,Green,Casual Players,1,0
planet2,9,27,1635,3,4,3,343,10,Amber,Loyal Customers,2,2
platon1,2,14,1834739,4,4,4,444,12,Green,VIP,1,3
playingsafe,23,1,50,2,1,1,211,4,Green,Casual Players,1,0
plentyofbits,1,8,879526,4,3,4,434,11,Green,Casual Players,1,0
plzdontbust,22,2,1241,2,2,3,223,7,Green,Casual Players,1,0
pmmebeer,8,2,23000,3,2,4,324,9,Green,Casual Players,1,0
popcard,6,2,11000,3,2,4,324,9,Green,Casual Players,1,0
porshe000,26,2,1100,2,2,3,223,7,Green,Casual Players,1,0
post1,1,177,5930,4,4,4,444,12,Green,VIP,1,3
poxynotus,7,6,6700,3,3,4,334,10,Amber,Casual Players,2,0
pragna,31,55,9457,1,4,4,144,9,Red,Casual Players,3,0
praveen123,14,2,20,3,2,1,321,6,Green,Casual Players,1,0
press2,12,2,1300,3,2,3,323,8,Green,Casual Players,1,0
pret,20,1,1000,2,1,3,213,6,Green,Casual Players,1,0
prialoket,39,3,52,1,2,1,121,4,Green,Casual Players,1,0
primem78,9,5,76,3,3,1,331,7,Green,Casual Players,1,0
primemover,2,10,159,4,3,2,432,9,Green,Casual Players,1,0
prince731999,18,38,667,2,4,2,242,8,Green,Casual Players,1,0
prince73999,35,22,1067,1,4,3,143,8,Amber,Casual Players,2,0
priteshb5773,6,1,28,3,1,1,311,5,Green,Casual Players,1,0
probablyme,11,5,47008,3,3,4,334,10,Amber,Casual Players,2,0
prof,39,5,2343,1,3,3,133,7,Amber,Casual Players,2,0
prof1btcprif,5,25,5179,4,4,3,443,11,Green,Loyal Customers,1,2
prog123,10,85,1692590,3,4,4,344,11,Amber,Loyal Customers,2,2
prophetofdestiny,2,1,15011,4,1,4,414,9,Green,New,1,1
prosmatec,1,12,8003,4,4,4,444,12,Green,VIP,1,3
proton77,25,5,12,2,3,1,231,6,Green,Casual Players,1,0
ps673,22,2,8001,2,2,4,224,8,Green,Casual Players,1,0
psycworld,15,39,323,3,4,2,342,9,Green,Loyal Customers,1,2
puddin,22,8,739,2,3,2,232,7,Green,Casual Players,1,0
pure009,16,1,2000,2,1,3,213,6,Green,Casual Players,1,0
purplejuice,24,1,48,2,1,1,211,4,Green,Casual Players,1,0
pussydestroyer69,22,3,1100,2,2,3,223,7,Green,Casual Players,1,0
putakabusta,2,9,2171,4,3,3,433,10,Green,Casual Players,1,0
q124354,30,13,1665,1,4,3,143,8,Amber,Casual Players,2,0
qCrc5u4,1,41,1664800,4,4,4,444,12,Green,VIP,1,3
qkrwn121,26,25,36807,2,4,4,244,10,Red,Casual Players,3,0
qqqqqqqq,8,1,10,3,1,1,311,5,Green,Casual Players,1,0
queenindira,26,3,20003,2,2,4,224,8,Green,Casual Players,1,0
quichefan,8,2,5308,3,2,3,323,8,Green,Casual Players,1,0
quierosu07,28,6,9650,2,3,4,234,9,Amber,Casual Players,2,0
qvazarr,9,15,221,3,4,2,342,9,Green,Loyal Customers,1,2
qwerdf2,11,2,1554,3,2,3,323,8,Green,Casual Players,1,0
qwerty132,18,1,50,2,1,1,211,4,Green,Casual Players,1,0
qwiksilwer56,2,1,50000,4,1,4,414,9,Green,New,1,1
r526,17,1,200,2,1,2,212,5,Green,Casual Players,1,0
raburi10,8,8,22400,3,3,4,334,10,Amber,Casual Players,2,0
ragusarj,29,2,5,1,2,1,121,4,Green,Casual Players,1,0
raigar777,24,1,600,2,1,2,212,5,Green,Casual Players,1,0
railsgers,30,84,1363,1,4,3,143,8,Amber,Casual Players,2,0
rajapalak,7,18,699,3,4,2,342,9,Green,Loyal Customers,1,2
rajeshrajan71,1,2,30,4,2,1,421,7,Green,New,1,1
rajkamal,33,1,200,1,1,2,112,4,Green,Casual Players,1,0
rakesora,11,1,10,3,1,1,311,5,Green,Casual Players,1,0
rambabu,21,4,20700,2,3,4,234,9,Amber,Casual Players,2,0
ramboh,32,10,1286,1,3,3,133,7,Amber,Casual Players,2,0
ran24jr,30,1,3,1,1,1,111,3,Green,Casual Players,1,0
randombust12,9,11,1804,3,4,3,343,10,Amber,Loyal Customers,2,2
rape_inch,34,1,75,1,1,1,111,3,Green,Casual Players,1,0
raphaelprata,39,4,54,1,3,1,131,5,Green,Casual Players,1,0
rapidfireman,7,11,1668946,3,4,4,344,11,Amber,Loyal Customers,2,2
rar1988,2,5,6312,4,3,4,434,11,Green,Casual Players,1,0
ratabat,17,1,500,2,1,2,212,5,Green,Casual Players,1,0
ravleg,10,14,319,3,4,2,342,9,Green,Loyal Customers,1,2
rawatpolo,15,1,1,3,1,1,311,5,Green,Casual Players,1,0
raymondrox,38,6,11100,1,3,4,134,8,Amber,Casual Players,2,0
rbgusdldl,39,1,30,1,1,1,111,3,Green,Casual Players,1,0
rbon,33,13,4165,1,4,3,143,8,Amber,Casual Players,2,0
real2100,5,25,450,4,4,2,442,10,Green,Loyal Customers,1,2
reallytrue,1,3,5000,4,2,3,423,9,Green,New,1,1
reason,4,5,13210,4,3,4,434,11,Green,Casual Players,1,0
reborn31,36,5,46,1,3,1,131,5,Green,Casual Players,1,0
rebus,1,4,242,4,3,2,432,9,Green,Casual Players,1,0
reckover,12,9,13750,3,3,4,334,10,Amber,Casual Players,2,0
refclyou,30,35,461,1,4,2,142,7,Green,Casual Players,1,0
regdem,28,2,18,2,2,1,221,5,Green,Casual Players,1,0
regulushf,17,1,500,2,1,2,212,5,Green,Casual Players,1,0
reitsu26,10,1,50,3,1,1,311,5,Green,Casual Players,1,0
remorder,16,1,400,2,1,2,212,5,Green,Casual Players,1,0
renaki,10,1,22,3,1,1,311,5,Green,Casual Players,1,0
renanlynella,7,9,2865,3,3,3,333,9,Amber,Casual Players,2,0
renatopuntocom,25,1,15,2,1,1,211,4,Green,Casual Players,1,0
rene2,38,6,669,1,3,2,132,6,Green,Casual Players,1,0
research_XII,5,32,12200,4,4,4,444,12,Green,VIP,1,3
resiize,18,1,775,2,1,2,212,5,Green,Casual Players,1,0
resultgaib,4,5,11,4,3,1,431,8,Green,Casual Players,1,0
retired,32,15,1264,1,4,3,143,8,Amber,Casual Players,2,0
retrofour,38,1,1,1,1,1,111,3,Green,Casual Players,1,0
reusss,30,1,1200,1,1,3,113,5,Green,Casual Players,1,0
rewer,20,2,700,2,2,2,222,6,Green,Casual Players,1,0
rezar,32,3,81,1,2,1,121,4,Green,Casual Players,1,0
rhez,34,4,430,1,3,2,132,6,Green,Casual Players,1,0
rhynes,26,2,350,2,2,2,222,6,Green,Casual Players,1,0
rhys57,13,4,96000,3,3,4,334,10,Amber,Casual Players,2,0
riabkin,30,28,2211,1,4,3,143,8,Amber,Casual Players,2,0
rich1111,17,2,5,2,2,1,221,5,Green,Casual Players,1,0
rickette,8,18,2170100,3,4,4,344,11,Amber,Loyal Customers,2,2
riensieSR,5,5,1445,4,3,3,433,10,Green,Casual Players,1,0
rikrikrik,33,1,2000,1,1,3,113,5,Green,Casual Players,1,0
rikso88,31,8,3965,1,3,3,133,7,Amber,Casual Players,2,0
riptome,5,14,3423,4,4,3,443,11,Green,Loyal Customers,1,2
rique98,12,1,4000,3,1,3,313,7,Green,Casual Players,1,0
rithwikgopu,1,1,200,4,1,2,412,7,Green,New,1,1
riverbed,18,18,105,2,4,2,242,8,Green,Casual Players,1,0
rizkiga,5,1,3,4,1,1,411,6,Green,New,1,1
rizkige,4,7,342,4,3,2,432,9,Green,Casual Players,1,0
rizkigi,4,2,11,4,2,1,421,7,Green,New,1,1
rizkigo,4,1,31,4,1,1,411,6,Green,New,1,1
rizkigu,4,3,19,4,2,1,421,7,Green,New,1,1
rizkisury4,15,45,6004,3,4,4,344,11,Amber,Loyal Customers,2,2
